,Authors,Title,Year,domain,ontology,Reuse,Format,Downloadable,Comments,reviewed ontologies,motivation,
P1,Thomas ZschockeJuan Carlos VillagrÃ¡n de LeÃ³nJan Beniest,Enriching the Description of Learning Resources on Disaster Risk Reduction in the Agricultural Domain: An Ontological Approach,2010,Document management for DRR,DRR Ontology,"Reuses AGROVOC, Abstract Learning Object Content Model (ALOCOM) ","Schema diagram, Owl",no link,No ODP reuse,"such as
international glossaries on disaster risk from UNU-EHS [19] and UN/ISDR [42], the internationally agreed glossary of disaster management terms of the United
Nations Department of Humanitarian Affairs (UNDHA) [43], the terminology on risk assessment for natural disasters of the World Meteorological Organization (WMO), hazard-specific glossaries such as on tsunamis [45], wildland fires [46], or drought [47]. In creating the ontology the authors are using the Prot´eg´e system [48]. ","Narrower definition of concepts, Other concepts are missing, such as risk communication or risk treatment",
P2,"CH Chou, FM Zahedi, H Zhao",Ontology for developing web sites for natural disaster management: methodology and implementation,2010,Disaster management,WB-OS,none,Tree diagram,no link,No ODP use,none,An accessible and comprehensive ontology structure developed in this research,
P3,"Pari Delir Haghighi, Hasn Al Taiar, Frada Burstein,Shonali Krishnaswamy",Ontology-Based Service-Oriented Architecture for Emergency Management in Mass Gatherings ,2010,Domain Ontology for Mass Gatherings,DO4MG  ontology,..,"rdf , schema diagram",no link,No ODP Reuse,,"they have limited support for mass gathering events and they do not consider the issues that are specifically related to the provision of medical care in such events (i.e. crowd mood, weather or the venue structure).-to
provide a standard and unifying knowledge model for
sharing information and enabling user queries and
inferences",
P4,"G Liu, Y Wang, C Wu",Research and application of geological hazard domain ontology,2010,Hazard domain,GeologicalHazard ontology,GEOLOGICAL HAZARD DOMAIN ONTOLOGY  derived from the People's Republic of China for Geology and Mineral Industry Standards-Taxonomy,"OWL, Tree diagram",no link,No ODP use,none,non  existent Domain ontology for semantic interoperability,
P5,"A. Malizia *, T. Onorati, P. Diaz, I. Aedo, F. Astorga-Paliza",SEMA4A: An ontology for emergency notification systems accessibility,2010,alert communication in emergency situations,Simple Emergency Alerts for All (SEMA4A) ontology,…,"schema diagram, owl",no link,No ODP Reuse,"WAfA, AccessOnto and EMEDIA;","To help in augmenting the interoperability among systems, and also among people, involved in such scenarios",
P6,"T Zschocke, JCV de León",Towards an ontology for the description of learning resources on disaster risk reduction,2010,DRR learning resources,Ontology for DRR learning resources,"glossaries and thesauri, such as the one from the UNU on risk components, he international glossaries on disaster risk of the United Nations, the Australian emergency management terms thesaurus, but also the General Multilingual Environmental Thesaurus (GEMET), more hazard-specific glossaries, such as on tsunamis [76] or wildland fires , risk management terms from international [78], [79] and national standards, ncorporated terms from the common accord on disaster
category classification from CRED and Munich RE [81] and corresponding terms from the EM-DAT glossary ",RDF/OWL,no link,No ODP use," Semantic Web for Earth and Environmental Terminology (SWEET), hydrogeology ontology extending SWEET, Disaster Management Data Model, Simple Emergency Alerts for All (SEMA4A) ontology, Advancement of Structured Information Standards (OASIS),AGROVOC thesaurus",non unified domain---enable Document search and retrieval,
P8,"S Scheuer, D Haase, V Meyer, C Kuhlicke, J Luther","Enhancing Flood Risk Assessment, Management and Mapping by means of a Risk Assessment Ontology",2011,Risk assessment-Flood,flood risk assessment ontology,"Re uses SWEET, parts MONITOR ontology but ignored other parts since developed ontology is not RISK management ontology, MONITOR is based on DOLCE","OWL DL axioms, schema diagram, CQs",no link,No ODP reuse,"SWEET, DOLCE,MONITOR","The ontologies proposed by Chau (2007), Islam and Piasecki
(2008), Refsgaard et al. (2005), Scholten et al. (2007) and Tripati and Babaie (2008) are not considered suitable for re-use. This is first due to their different scopes: none of the ontologies considers the flood risk assessment problem or local knowledge. Furthermore, they define few concepts relevant to flood risk assessment. Efforts to extend these ontologies for the objectives of this paper are deemed comparable to starting from scratch; the latter makes building the envisaged ontology easier",
P9,"Zhengjie Fan,Sisi Zlatanova",Exploring ontologies for semantic interoperability of data in emergency response,2011,emergency Management,Emergency Management Ontology,…,"Uml Schema diagram, owl, SWRL",,No ODP Reuse,…,mature ontology-based emergency responsesystem is required that can both integrate spatial datamodels across different information communities andprovide flexible querying and reasoning functions.,
P10,K. Grolinger,From glossaries to ontologies: Disaster management domain,2011,Disaster Management,Disaster ontology ,"reuses Glossaries e.g Emergency and Crisis Communication Vocabulary from Government Services Canada [3] and the EMO (Emergency
Management Ontario) glossary [4] from the Ontario provincial government. The remaining three sources are American: NIMS (National Incident Management System) glossary [5], ICDRM (The Institute for Crisis, Disaster and Risk Management) glossary [6] and ICS (Incident Command System) glossary [7]. ","schema diagram, OWL",no link,No ODP use,"FONT (Federation ONTology),  MKIONT (Meta Knowledge Infrastructure
ONTology), IONT (Infrastructure ONTology) ", existing ontologies are not comprehensive to capture desired scope,
P11,"Kostas Kalabokidis,Athanasis Nikos,Michail Vaitis",OntoFire: An ontology-based geo-portal for wildfires,2011,for representing Fire events,OntoFire ,uses concepts of ISO 19115 metadat standard,"Schema diagram, OWL/Rdfs",no link but pictures of geoportal,No ODP Reuse,,keyword-based techniques often frustrate users during information retrieval,
P14,"Babitski G., Bergweiler S., Grebner O., Oberle D., Paulheim H., Probst F",SoKNOS – Using Semantic Technologies in Disaster Management Software,2011,for planning in disaster response,SOKNOS ,"DOLCE, Core Domain Ontology on Emergency Management","owl dl, schema diagram",no link- ontology developed for software,No ODP Reuse,,supporting the goal of a shared and semantically unambiguous information basis across organizations,
P15,Z. Yang; G. Lin; J. Chen,The domain ontology of typhoon disasters and its application,2011,Disaster response,Typhoon Disasters Ontology,SUMO,"OWL/rdf, Schema diagram",no link,no ODP uSe,Marine disasters ontology," the understanding and
shared definition of typhoon disasters in various agencies",
P16,"XL Wang, XL Wu",A novel knowledge representation method based on ontology for natural disaster decision-making,2012,emegency response,emergency decision ontology,..,"OWL, Schema diagram, SWRL axioms",no link,No ODP use,none,difficult to express various knowledges with any of the above KR methods,
P17,"J Zhao, L Deng",Emergency Case Ontology Model and its Application in Earthquake Disaster,2012,Emergency Response,emergency case ontology,"Re uses ABC upper level ontology-- can better be recharacterised with Organisation Pattern, Agent Role pattern, Location, event patterns, information object",Flow diagram,no link,No ODP reuse,ABC ontology,describing resources in an information system,
P21,Stefan KOLLARITS et al,MONITOR – an ontological basis for risk management,2012,"Risk, Vulnerability, Hazard",MONITOR,DOLCE,"owl, schema diagram, Owl axioms",link documentation Pdf,No ODP Reuse,,"modularisation, bottom up apprach",
P23,"SA Mescherin, I Kirillov, ...",Ontology of emergency shared situation awareness and crisis interoperability,2013,Crisis management,SSA ontology--shared situation ontology,"owl time, W3C Geospatial Vocabulary, SSN","schema diagram, OWL---event agent role and organisation patterns can be reused to characterise ontology",no link,No ODP use,none,"completeness-disparate vocabularies, thesauri and regulations.",
P24,"Khaled Amailef, Jie Lu",Ontology-supported case-based reasoning approach for intelligent m-Government emergency response services,2013,case-based reasoning (OS-CBR) for mobile response systems,MERS OS-CBR,..,"owl, schema diagram",no link,No ODP Reuse,,improve  Information Extractionprocess and to present the results of knowledge about response/warning generation. ,
P25,Can Ayd?n and vahap Tecim,Research on geo-ontologies at earthquake domain for disaster management on urban areas,2013,Crisis management-response and rescue,Earthquake ontology,"GeoSPARQL ontology, SWEET ","Schema diagram, OWL format, CQs, Example scenario",no link,No ODP use,"SoKNOS, Disaster  ontology  for FIRE_moreno 2011",", one  of  the  domains  which are not  treated  enough  within ontological  framework  is  the  earthquake  domain..we  have  found no ontology for disaster management in earthquake domain which motivated us to create earth-quake  ontology.. Besides, dis-aster ontologies handle only non-spatial data and lack geographical query and reasoning capa-bilities. ",
P26,Annalisa AgrestaGrazia FattorusoMaurizio PollinoFrancesco PasanisiCarlo TebanoSaverio De VitoGirolamo Di Francia,An Ontology Framework for Flooding Forecasting,2014,An Ontology Framework for Flooding Forecasting,FloodOntology,SSN ontology,"owl, schema diagram, protégé screen shot",no link,No ODP Reuse,,provided a unified and structured knowledge-base for flooding risk fore-casting by building,
P28,Shreyansh Bhatt et al,Assisting coordination during crisis: a domain ontology based approach to infer resource needs from tweets,2014,crisis management,Crisis Ontology,reuse Management Of A Crisis (MOAC) vocabulary [14] and the Humanitarian Exchange Language (HXL)---geontology from dbpedia location like new ,…,no link to modified but MOAC and HXL have,No ODP reuse,Management Of A Crisis (MOAC) vocabulary [14] and the Humanitarian Exchange Language (HXL) [13].  -- this is however Top down-- faces  the  daunting  challenge  of  modeling the entire domain. ,"We  spot  the  entities  in  tweet text for the entity set of concepts in the domain model. Tweets are annotated  with  the  crisis  ontology that includes  the  relationship between power, medical, and food/water resources.",
P29,"SH Jihan, A Segev",Humanitarian assistance ontology for emergency disaster response,2014,Emergency Response,Humanitarian Assistance Ontology (crisis identification and crisis response),"Local part reuses DbPedia event(includes Actor, event, time, place, impact), and global part elicits knowledge from Sphere handbook","inference Rules/axioms, schema diagram",no link,No ODP reuse,none,create a solution based on humanitarian standards to create a bridge between the emergency needs and the crisis response recommendations,
P30,"A Rajbhnadari, M Nagai, M Ono, ...",Integration of Disaster Information with Satellite Imagery Using Ontology,2014,disaster domain,disaster domain ontology--- broad paper…,skos,tree structure,no link,No ODP reuse,none,Proposes a knowledge acquisition method to enable create  comprehensive ontologies from  text,
P33,"Yu Liu,Shihong Chen,Yunhua Wang",SOFERS: Scenario Ontology for Emergency Response System,2014,Scenario Ontology for Emergency Response System,SOFERS ,PROTON- possibility to recharacterise using event ODP,"owl-DL axioms and SWRL, schema diagram",no link,No ODP Reuse,,existing ontologies don’t capture  the scenario response paradigm,
P36,"H Jung, K Chung",Ontology-driven slope modeling for disaster management service,2015,disaster management-Emergency response,Knowledge-based · Landslide · Ontology,none,"OWL, Tree diagrams, SWRL Axioms",no link,No ODP use,none,. Ontology-based context awareness modeling,
P37,"S Yi, Y Xiao",The development of integrated watershed flood risk assessment ontology,2015,Flood risk assessment,Index computing ontolog,reuses SWEET,"OWL, Schema diagram",no link,no ODP uSe,flood risk assessment ontology,"interdisciplinary and Integrated assessment is defined as an  participatory process of combining, integration, interpreting and communicating knowledge from diverse scientific disciplines to allow a better understanding of complex phenomena ....integrated assessment for environment has the problem of different systems with heterogeneous data and information---the complex process involving physical systems and organizational systems in flood risk assessment is not discussed by sheuer et al",
P38,"João L.R. Moreiraa,?, Luís Ferreira Piresa, Marten van SinderenaandPatricia Dockhorn Costa",Towards ontology-driven situation-aware disaster management,2015,emergency situations ,OntoEmerge ontology,"Unified foundation ontology, Disaster management Core ontology","Mapping Rule, OntoUML<SML",no link,No ODP use,"EMERGEL – extended from SOKO , EDER – extendedfrom geo-ontology, DOLCE, GFO foundational ontology--UFO was conceived from DOLCE and GFO",Disaster management core ontology brings ontological challenges for the Unified FoundationalOntology (UFO) along with its ontological language (OntoUML),
P39,A.P. Vargas,Using ontologies to support model-based exploration of the dependencies between causes and consequences of hazards,2015,hazard causation,Dependencies between Causes and Consequences of Hazards--not clear,…,"schema diagram, OWL, SWRL axioms",no link,No ODP use,none,because AI based logic is less erxpressive to capture knowledge in saftey,
P40,"MKA Hassan, YH Chen-Burger",A communication and tracking ontology for mobile systems in the event of a large scale disaster,2016,Disaster Relief-,Communication and Tracking Ontology--for communication and tracking in disaster relief,"weather [25–27], Disaster [25, 28], Time [16, 29], Places [16, 23] and Location [16] ontology","Owl but no axioms provided, Protégé schema diagram",no link,No ODP reuse,"AEMET Weather, Disaster Management, Management of a Crisis (MOAC), FOAF",centralized coordination--no single right way of ontology construction-- could require reuse of multiple ontologies to best represent Communication and Tracking domain,
P41,"Matthias Moi, Nikolai Rodehutskors and Rainer Koch ",AN ONTOLOGY FOR THE USE OF QUALITY EVALUATED SOCIAL MEDIA DATA IN EMERGENCIES,2016,ontology that covers the fields of social media and emergency management,Social Media Emergency Management (SMEM),"FOAF, SIOC, BasicGeo, HXL, SEM, SCOT, RDFG , LODE, MA-Ont,iContact, EM-DAT, DC-Terms, CiTO,SKOS,uses CAP standard--based on the Components such as events,Agents….ODPs can be used to recharacterize these ontologies",schema diagram,no link ,No ODP Reuse,,no ontology in existence that unifies information from social media with the emergency domain and enhances it with additional information and emergency domain knowledge adequately,
P43,"P Apisakmontri, E Nantajeewarawat, ...",An ontology-based framework for semantic reconciliation in humanitarian aid in emergency information systems,2016,Crisis Management-emergency response /humanitarian,Humanitarian Aid for Refugees in Emergen-cies (HARE) ontology,"uses SWEET and SUMO that are based DOLCE foundation ontology--show the mappings between ontologies …use UNHCR handbooks for eliciting knowledge ---there is a posibility that HARE can be reconstructed from event, quality, Participant","Schema diagram, no axioms",no link,No ODP reuse,none,Semantic integration in Humanitarian Aid in EmergencyInformation Systems,
P44,"Hanbin Luo, Xiaofan Peng,Botao Zhong",Application of Ontology in Emergency Plan Management of Metro Operation,2016,Emergency Plan Management ,Ont-EP4MO,..,"owl/swrl, schema digram",no link,No ODP Reuse,,"BIM-based knowledge display for
emergency plan is seldom studied...BIM knowledge can be presented in a standard and semantic way to avoid the ambiguity of natural language and enhance computer-aided information processing.",
P45,"H Yuwen, X He, X Qian, M Yuan",Knowledge modeling based on ontology for disaster warning information release technology of urban industrial disaster,2016,Early warning,Urban Industrial Disaster Warning--shallow paper,reuses ISDR glossary for knowledge elicitation,"Tree diagram, owl syntax code, ",no link,No ODP reuse,none,coverage issue in urban industrial,
P46,"F Zhang, S Zhong, S Yao, C Wang, Q Huang",Ontology-based representation of meteorological disaster system and its application in emergency management,2016,emergency management,meteorological disaster ontology (MDO) model,,"OWL, Tree diagram, SWRL Axioms",no link,No ODP use,"earthquake disaster emergency response (EDER),",to provide a shared domain knowledge framework of meteorological disasters that enables decision makers to clearly articulate the basic components of meteorological disasters and their semantic relationships. Meteorological factor activities Hazard-induci,
P47,"Zhong, S., Fang, Z., Zhu, M. et al",A geo-ontology-based approach to decision-making in emergency management of meteorological disasters,2017,Early warning/emegency response,meteorological disaster,"based on BFO and Geonames…..geospatial foundation ontology inherits from selected top-level ontology and combines some existing geospatial ontologies (e.g., GeoXG reported by W3C Geospatial Incubator Group W3C geospatial
ontologies, https://www.w3.org/2005/Incubator/geo/XGR-geo-ont-20071023/)....OWL-Time ontology in OGC geospatial foundation...can be best re characterised with Event ODP, Event causation, place pattern aligned with Geosparql","OWL format and SWRL axioms, tree diagram",no link,No ODP reuse," BFO and Geonames…..geospatial foundation ontology inherits from selected top-level ontology and combines some existing geospatial ontologies (e.g., GeoXG reported by W3C Geospatial Incubator Group W3C geospatial
ontologies, https://www.w3.org/2005/Incubator/geo/XGR-geo-ont-20071023/)....OWL-Time ontology",geo-ontology extends ontology to a space–time context and then it can describe some concepts associated with the geospatial environment,
P48,K. R. Kurte; S. S. Durbha; R. L. King; N. H. Younan; A. V. Potnis,A spatio-temporal ontological model for flood disaster monitoring,2017,FLOOD DISASTER MONITORING,Dynamic Flood Ontology (DFO),"W3c Owl Time ontology, SIIM Ontology that incoporates Topological relations","OWL,swrl axioms, schema diagram",no link,No ODP use,none,"development of Ontology, which is able to capture the dynamically evolving phenomenon",
